"","X","DR.NUMBER","DATE.REPORTED","DATE.OCCURRED","TIME.OCCURRED","AREA.ID","AREA.NAME","REPORTING.DISTRICT","CRIME.CODE","CRIME.CODE.DESCRIPTION","crime.type.record","level.detail","MO.CODES","VICTIM.AGE","VICTIM.SEX","VICTIM.DESCENT","PREMISE.CODE","PREMISE.DESCRIPTION","WEAPON.USED.CODE","WEAPON.DESCRIPTION","STATUS.CODE","STATUS.DESCRIPTION","CRIME.CODE.1","CRIME.CODE.2","CRIME.CODE.3","CRIME.CODE.4","ADDRESS","CROSS.STREET","LOCATION","LATITUDE","LONGITUDE","geometry","index_right","CT10","GEOID10","LABEL","OBJECTID","Shape_STAr","Shape_STLe","X_Center","Y_Center","year","month","day","day_of_week","duration"
"11",11,160101156,2016-08-09,2016-08-09,1800,1,"Central",166,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","Assault","Aggravated","1218 0416 0429",56,"F","B",102,"SIDEWALK",308,"STICK","IC","Invest Cont",230,NA,NA,NA,"6TH                          ST","SAN JULIAN                   ST","(34.0428, -118.2461)",34.0428,-118.2461,"POINT (-118.2461 34.0428)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,9,"Wednesday",0
"12",12,160120886,2016-08-10,2016-08-09,2200,1,"Central",166,121,"RAPE, FORCIBLE","Rape","Forcible","1218 0500",34,"F","B",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",121,998,NA,NA,"600    SAN JULIAN                   ST","","(34.0428, -118.2461)",34.0428,-118.2461,"POINT (-118.2461 34.0428)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,9,"Wednesday",1
"13",13,160120951,2016-08-10,2016-08-10,1600,1,"Central",157,626,"INTIMATE PARTNER - SIMPLE ASSAULT","Intimate partner assault","Simple","1218 2004 1813 1814 0408 0444 0421 0429 0319 2000",27,"F","W",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",626,NA,NA,NA,"500 E  6TH                          ST","","(34.0423, -118.2452)",34.0423,-118.2452,"POINT (-118.2452 34.0423)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,10,"Thursday",0
"14",14,160120939,2016-08-11,2016-08-11,145,1,"Central",158,626,"INTIMATE PARTNER - SIMPLE ASSAULT","Intimate partner assault","Simple","2000 2004 1218 1813 1814 0416",55,"M","B",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",626,NA,NA,NA,"7TH                          ST","CENTRAL                      AV","(34.0368, -118.2412)",34.0368,-118.2412,"POINT (-118.2412 34.0368)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,11,"Friday",0
"15",15,160120982,2016-08-12,2016-08-11,1300,1,"Central",155,624,"BATTERY - SIMPLE ASSAULT","Battery","","0416 1218",NA,"F","B",726,"POLICE FACILITY",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"200 E  6TH                          ST","","(34.0448, -118.2474)",34.0448,-118.2474,"POINT (-118.2474 34.0448)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,11,"Friday",1
"16",16,160120989,2016-08-11,2016-08-11,1900,1,"Central",155,624,"BATTERY - SIMPLE ASSAULT","Battery","","0416 0429 2004 1218",51,"M","W",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"6TH","WALL","(34.0435, -118.2471)",34.0435,-118.2471,"POINT (-118.2471 34.0435)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,11,"Friday",0
"17",17,160121162,2016-08-14,2016-08-14,1410,1,"Central",157,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","Assault","Aggravated","1817 1218 0913 0416 0305",35,"M","H",102,"SIDEWALK",500,"UNKNOWN WEAPON/OTHER WEAPON","IC","Invest Cont",230,NA,NA,NA,"5TH","SAN PEDRO","(34.0442, -118.2439)",34.0442,-118.2439,"POINT (-118.2439 34.0442)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,14,"Monday",0
"18",18,160121190,2016-08-14,2016-08-14,1700,1,"Central",148,626,"INTIMATE PARTNER - SIMPLE ASSAULT","Intimate partner assault","Simple","2000 1218 2004 0344",28,"F","B",102,"SIDEWALK",NA,"","IC","Invest Cont",626,NA,NA,NA,"5TH                          ST","TOWNE","(34.043, -118.242)",34.043,-118.242,"POINT (-118.242 34.043)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,14,"Monday",0
"19",19,160121224,2016-08-15,2016-08-15,1140,1,"Central",166,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","Assault","Aggravated","1218 0400",48,"F","B",102,"SIDEWALK",513,"STUN GUN","IC","Invest Cont",230,NA,NA,NA,"600 S  SAN PEDRO                    ST","","(34.0421, -118.2469)",34.0421,-118.2469,"POINT (-118.2469 34.0421)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,15,"Tuesday",0
"20",20,160121225,2016-08-15,2016-08-15,1010,1,"Central",166,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036","Theft","","0344 1218",48,"F","B",517,"",NA,"","IC","Invest Cont",341,NA,NA,NA,"600 S  SAN PEDRO                    ST","","(34.0421, -118.2469)",34.0421,-118.2469,"POINT (-118.2469 34.0421)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,15,"Tuesday",0
"21",21,160121252,2016-08-15,2016-08-15,2200,1,"Central",157,624,"BATTERY - SIMPLE ASSAULT","Battery","","1416 1218 2004",66,"M","B",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"500 S  SAN PEDRO                    ST","","(34.0442, -118.2439)",34.0442,-118.2439,"POINT (-118.2439 34.0442)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,15,"Tuesday",0
"22",22,160121281,2016-08-16,2016-08-16,1200,1,"Central",156,440,"THEFT PLAIN - PETTY ($950 & UNDER)","Theft","","1218 0344",58,"M","W",102,"SIDEWALK",NA,"","IC","Invest Cont",440,NA,NA,NA,"6TH                          ST","SAN PEDRO                    ST","(34.0423, -118.2452)",34.0423,-118.2452,"POINT (-118.2452 34.0423)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,16,"Wednesday",0
"23",23,160121300,2016-08-16,2016-08-16,1400,1,"Central",157,910,"KIDNAPPING","Kidnapping","","1300 1218 0418 0443 0416 0319",27,"F","W",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",910,NA,NA,NA,"5TH                          ST","BROADWAY","(34.0416, -118.244)",34.0416,-118.244,"POINT (-118.244 34.0416)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,16,"Wednesday",0
"24",24,160121303,2016-08-16,2016-08-16,2000,1,"Central",157,220,"ATTEMPTED ROBBERY","Robbery","Attempt","1260 0337 0416 1218",41,"F","B",101,"STREET",500,"UNKNOWN WEAPON/OTHER WEAPON","IC","Invest Cont",220,NA,NA,NA,"6TH                          ST","SAN PEDRO                    ST","(34.0417, -118.2443)",34.0417,-118.2443,"POINT (-118.2443 34.0417)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,16,"Wednesday",0
"25",25,160121469,2016-08-18,2016-08-17,1400,1,"Central",166,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","Assault","Aggravated","0400 0417 1218",49,"M","H",517,"",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",230,NA,NA,NA,"600 S  SAN PEDRO                    ST","","(34.0421, -118.2469)",34.0421,-118.2469,"POINT (-118.2469 34.0421)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,17,"Thursday",1
"26",26,160121704,2016-08-21,2016-08-17,2300,1,"Central",146,440,"THEFT PLAIN - PETTY ($950 & UNDER)","Theft","","0344 1218",59,"F","W",102,"SIDEWALK",NA,"","IC","Invest Cont",440,NA,NA,NA,"5TH                          ST","WALL","(34.0449, -118.2458)",34.0449,-118.2458,"POINT (-118.2458 34.0449)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,17,"Thursday",4
"27",27,160121417,2016-08-18,2016-08-18,120,1,"Central",146,210,"ROBBERY","Robbery","","0344 1218 0305 0400 2004 0408",49,"M","B",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",210,NA,NA,NA,"5TH","WALL","(34.0449, -118.2458)",34.0449,-118.2458,"POINT (-118.2458 34.0449)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,18,"Friday",0
"28",28,160121425,2016-08-18,2016-08-18,640,1,"Central",156,626,"INTIMATE PARTNER - SIMPLE ASSAULT","Intimate partner assault","Simple","2000 0416 1218",30,"F","B",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",626,NA,NA,NA,"6TH                          ST","SAN PEDRO","(34.0423, -118.2452)",34.0423,-118.2452,"POINT (-118.2452 34.0423)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,18,"Friday",0
"29",29,160121463,2016-08-18,2016-08-18,1230,1,"Central",157,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","Assault","Aggravated","0416 0334 0430 1100 2004 1218",25,"F","B",102,"SIDEWALK",107,"OTHER FIREARM","IC","Invest Cont",230,NA,NA,NA,"5TH                          ST","TOWNE","(34.043, -118.242)",34.043,-118.242,"POINT (-118.242 34.043)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,18,"Friday",0
"30",30,160121471,2016-08-18,2016-08-18,1400,1,"Central",147,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","Assault","Aggravated","0400 0411 1218 0445 0444 0416 0368 0429",40,"M","H",102,"SIDEWALK",207,"OTHER KNIFE","IC","Invest Cont",230,NA,NA,NA,"5TH                          ST","SAN PEDRO                    ST","(34.0442, -118.2439)",34.0442,-118.2439,"POINT (-118.2439 34.0442)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,18,"Friday",0
"31",31,160121678,2016-08-21,2016-08-21,2235,1,"Central",156,624,"BATTERY - SIMPLE ASSAULT","Battery","","1206 1218 2004 0416 0429",55,"F","B",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"500 S  SAN PEDRO                    ST","","(34.0437, -118.2455)",34.0437,-118.2455,"POINT (-118.2455 34.0437)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,21,"Monday",0
"32",32,160121798,2016-08-22,2016-08-22,1730,1,"Central",157,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","Assault","Aggravated","2004 1402 0411 1019 1218",67,"M","B",102,"SIDEWALK",207,"OTHER KNIFE","AA","Adult Arrest",230,998,NA,NA,"6TH","TOWNE","(34.0408, -118.2428)",34.0408,-118.2428,"POINT (-118.2428 34.0408)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,22,"Tuesday",0
"33",33,160101188,2016-08-24,2016-08-24,2226,1,"Central",147,110,"CRIMINAL HOMICIDE","Homicide","","1100 2004 1218 0430",49,"M","B",101,"STREET",107,"OTHER FIREARM","AA","Adult Arrest",110,NA,NA,NA,"5TH                          ST","SAN PEDRO","(34.0442, -118.2439)",34.0442,-118.2439,"POINT (-118.2439 34.0442)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,24,"Thursday",0
"34",34,160121985,2016-08-25,2016-08-24,2030,1,"Central",155,440,"THEFT PLAIN - PETTY ($950 & UNDER)","Theft","","0344 1218 2004",28,"M","B",102,"SIDEWALK",NA,"","IC","Invest Cont",440,NA,NA,NA,"6TH                          ST","WALL                         ST","(34.0435, -118.2471)",34.0435,-118.2471,"POINT (-118.2471 34.0435)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,24,"Thursday",1
"35",35,160101194,2016-08-25,2016-08-25,2200,1,"Central",166,121,"RAPE, FORCIBLE","Rape","Forcible","1218 0416 1019 1316",52,"F","B",101,"STREET",500,"UNKNOWN WEAPON/OTHER WEAPON","IC","Invest Cont",121,998,NA,NA,"600 S  SAN PEDRO                    ST","","(34.0421, -118.2469)",34.0421,-118.2469,"POINT (-118.2469 34.0421)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,25,"Friday",0
"36",36,160122018,2016-08-25,2016-08-25,1130,1,"Central",156,930,"CRIMINAL THREATS - NO WEAPON DISPLAYED","Threats","No weapon","0421 1218 2004",48,"F","B",517,"",511,"VERBAL THREAT","IC","Invest Cont",930,NA,NA,NA,"500 S  SAN PEDRO                    ST","","(34.0437, -118.2455)",34.0437,-118.2455,"POINT (-118.2455 34.0437)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,25,"Friday",0
"37",37,160122078,2016-08-26,2016-08-26,1725,1,"Central",158,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","Assault","Aggravated","1218 2004 1206 2000 1814 1813 0445 0334",63,"M","B",102,"SIDEWALK",207,"OTHER KNIFE","AO","Adult Other",230,998,NA,NA,"6TH","GLADYS","(34.0403, -118.2421)",34.0403,-118.2421,"POINT (-118.2421 34.0403)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,26,"Saturday",0
"38",38,160122083,2016-08-26,2016-08-26,850,1,"Central",158,624,"BATTERY - SIMPLE ASSAULT","Battery","","0416 0429 1816 1218",55,"M","B",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"6TH","CERES","(34.0394, -118.2405)",34.0394,-118.2405,"POINT (-118.2405 34.0394)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,26,"Saturday",0
"39",39,160122217,2016-08-29,2016-08-29,30,1,"Central",157,440,"THEFT PLAIN - PETTY ($950 & UNDER)","Theft","","2004 1218 0344 1810",41,"M","W",516,"",NA,"","IC","Invest Cont",440,NA,NA,NA,"500 S  SAN PEDRO                    ST","","(34.0442, -118.2439)",34.0442,-118.2439,"POINT (-118.2439 34.0442)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,29,"Tuesday",0
"40",40,160122358,2016-08-30,2016-08-30,1030,1,"Central",156,626,"INTIMATE PARTNER - SIMPLE ASSAULT","Intimate partner assault","Simple","2000 1218 2004 0444",37,"M","B",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",626,998,NA,NA,"6TH                          ST","SAN JULIAN","(34.0428, -118.2461)",34.0428,-118.2461,"POINT (-118.2461 34.0428)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,30,"Wednesday",0
"41",41,160122459,2016-08-31,2016-08-31,2200,1,"Central",156,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","Assault","Aggravated","0416 1218",50,"M","B",501,"SINGLE FAMILY DWELLING",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",230,NA,NA,NA,"500 S  SAN PEDRO                    ST","","(34.0437, -118.2455)",34.0437,-118.2455,"POINT (-118.2455 34.0437)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,31,"Thursday",0
"42",42,160122465,2016-08-31,2016-08-31,2000,1,"Central",156,210,"ROBBERY","Robbery","","1206 0400 0448 0429 0344 1218",44,"M","B",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",210,NA,NA,NA,"6TH                          ST","SAN PEDRO                    ST","(34.0423, -118.2452)",34.0423,-118.2452,"POINT (-118.2452 34.0423)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,31,"Thursday",0
"43",43,160122469,2016-08-31,2016-08-31,2000,1,"Central",155,624,"BATTERY - SIMPLE ASSAULT","Battery","","1218 0417 1501 2004",42,"F","H",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"6TH                          ST","MAPLE","(34.0439, -118.2479)",34.0439,-118.2479,"POINT (-118.2479 34.0439)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,31,"Thursday",0
"44",44,160122546,2016-09-02,2016-09-02,130,1,"Central",156,624,"BATTERY - SIMPLE ASSAULT","Battery","","0400 1218",52,"F","W",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"6TH                          ST","SAN PEDRO","(34.0423, -118.2452)",34.0423,-118.2452,"POINT (-118.2452 34.0423)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,9,2,"Saturday",0
"45",45,160122576,2016-09-03,2016-09-02,1645,1,"Central",157,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","Assault","Aggravated","1100 1218 1402 0430 0913 0345",48,"M","B",102,"SIDEWALK",101,"REVOLVER","AA","Adult Arrest",230,998,NA,NA,"7TH","TOWNE","(34.0396, -118.2451)",34.0396,-118.2451,"POINT (-118.2451 34.0396)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,9,2,"Saturday",1
"46",46,160122577,2016-09-02,2016-09-02,1300,1,"Central",146,350,"THEFT, PERSON","Theft","","1218 2004 0344",53,"F","B",102,"SIDEWALK",NA,"","IC","Invest Cont",350,NA,NA,NA,"5TH                          ST","WALL                         ST","(34.0449, -118.2458)",34.0449,-118.2458,"POINT (-118.2458 34.0449)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,9,2,"Saturday",0
"47",47,160122597,2016-09-03,2016-09-03,436,1,"Central",156,745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)","Vandalism","Misdemeanor","1218 2004 0329 1814 2000",42,"F","B",102,"SIDEWALK",NA,"","AO","Adult Other",745,NA,NA,NA,"500 S  SAN PEDRO                    ST","","(34.0437, -118.2455)",34.0437,-118.2455,"POINT (-118.2455 34.0437)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,9,3,"Sunday",0
"48",48,160101212,2016-09-04,2016-09-04,1800,1,"Central",156,210,"ROBBERY","Robbery","","0416 0344 1218 2004",65,"M","B",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AA","Adult Arrest",210,NA,NA,NA,"5TH                          ST","WALL                         ST","(34.0449, -118.2458)",34.0449,-118.2458,"POINT (-118.2458 34.0449)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,9,4,"Monday",0
"49",49,160122705,2016-09-05,2016-09-05,230,1,"Central",166,624,"BATTERY - SIMPLE ASSAULT","Battery","","0416 2004 1218",42,"M","H",709,"PUBLIC RESTROOM(INDOORS-INSIDE)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"600 S  SAN PEDRO                    ST","","(34.0421, -118.2469)",34.0421,-118.2469,"POINT (-118.2469 34.0421)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,9,5,"Tuesday",0
"50",50,160122722,2016-09-05,2016-09-05,1255,1,"Central",165,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","Assault","Aggravated","1402 2004 0411 1218 1008 0416",39,"M","B",102,"SIDEWALK",500,"UNKNOWN WEAPON/OTHER WEAPON","AA","Adult Arrest",230,998,NA,NA,"5TH","MAPLE","(34.0433, -118.2488)",34.0433,-118.2488,"POINT (-118.2488 34.0433)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,9,5,"Tuesday",0
"51",51,160122816,2016-09-06,2016-09-06,1420,1,"Central",157,624,"BATTERY - SIMPLE ASSAULT","Battery","","1218 2004 1202 0416",60,"F","W",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"600 E  6TH                          ST","","(34.0417, -118.2443)",34.0417,-118.2443,"POINT (-118.2443 34.0417)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,9,6,"Wednesday",0
"52",52,160124339,2016-09-28,2016-09-07,1330,1,"Central",157,121,"RAPE, FORCIBLE","Rape","Forcible","0500 0527 0532 0421 0446 0416 0342 1218",39,"F","W",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",121,NA,NA,NA,"6TH","CROCKER","(34.0417, -118.2443)",34.0417,-118.2443,"POINT (-118.2443 34.0417)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,9,7,"Thursday",21
